"","Crop","Year","State","Area","Production","Yield"
"1","Pearl Millet (Bajra)",1967,"All India",12807.5,5184.9,404.833
"2","Pearl Millet (Bajra)",1968,"All India",12051.8,3801.8,315.455
"3","Pearl Millet (Bajra)",1969,"All India",12492.8,5326.8,426.39
"4","Pearl Millet (Bajra)",1970,"All India",12913.4,8028.8,621.742
"5","Pearl Millet (Bajra)",1972,"All India",11816.8,3929.4,332.527
"6","Pearl Millet (Bajra)",1974,"All India",11258.1,3271.9,290.626
"7","Pearl Millet (Bajra)",1975,"All India",11571.3,5735.8,1031.239
"8","Pearl Millet (Bajra)",1977,"All India",11103.8,4730.2,425.998
"9","Pearl Millet (Bajra)",1978,"All India",11392.9,5566.4,488.585
"10","Pearl Millet (Bajra)",1979,"All India",10579.3,4047.9,382.625
"11","Pearl Millet (Bajra)",1980,"All India",11657.1,5343,458.347
"12","Pearl Millet (Bajra)",1981,"All India",11783.9,5537.3,469.904
"13","Pearl Millet (Bajra)",1982,"All India",10942.2,5131.2,468.937
"14","Pearl Millet (Bajra)",1983,"All India",11832.4,7725.9,652.944
"15","Pearl Millet (Bajra)",1985,"All India",10651.8,3663.8,343.961
"16","Pearl Millet (Bajra)",1986,"All India",11266,4513.5,400.63
"17","Pearl Millet (Bajra)",1988,"All India",12045.7,7779.7,645.849
"18","Pearl Millet (Bajra)",1989,"All India",10899.5,6649.1,610.037
"19","Pearl Millet (Bajra)",1990,"All India",10476.4,6893.8,658.031
"20","Pearl Millet (Bajra)",1991,"All India",10027.5,4665,465.221
"21","Pearl Millet (Bajra)",1993,"All India",9905.7,4973.5,502.085
"22","Pearl Millet (Bajra)",1994,"All India",10222.5,7159.2,700.337
"23","Pearl Millet (Bajra)",1996,"All India",9980.2,7870.2,788.581
"24","Pearl Millet (Bajra)",1997,"All India",9887.7,7644.4,773.122
"25","Pearl Millet (Bajra)",1998,"All India",9297.2,6955.6,748.139
"26","Pearl Millet (Bajra)",1999,"All India",8897.1,5782.2,649.897
"27","Pearl Millet (Bajra)",2001,"All India",9529.1,8284,869.337
"28","Pearl Millet (Bajra)",2002,"All India",7739.8,4718.9,609.693
"29","Pearl Millet (Bajra)",2003,"All India",10612.3,12109.3,1141.063
"30","Pearl Millet (Bajra)",2004,"All India",9232.9,7931.3,859.026
"31","Pearl Millet (Bajra)",2005,"All India",9581.2,7684,801.987
"32","Pearl Millet (Bajra)",2007,"All India",9571.3,9970.1,1041.666
"33","Pearl Millet (Bajra)",2008,"All India",8752.5,8887.1,1015.378
"34","Pearl Millet (Bajra)",2009,"All India",8904.174,6506.412,730.715
"35","Pearl Millet (Bajra)",2010,"All India",9612.338,10369.9,1078.811
"36","Pearl Millet (Bajra)",2011,"All India",8776.7,10276,1170.827
"37","Pearl Millet (Bajra)",2012,"All India",7297.417,8741.982,1197.956
"38","Pearl Millet (Bajra)",2013,"All India",7810.715,9250.085,1184.281
"39","Pearl Millet (Bajra)",2014,"All India",7317.95,9184.22,1255.026
"40","Pearl Millet (Bajra)",2015,"All India",7128.611,8066.634,1131.586
"41","Pearl Millet (Bajra)",2016,"All India",7458.501,9729.843,1304.531
"42","Pearl Millet (Bajra)",2019,"All India",7542.68,10362.68,1374
"43","Pearl Millet (Bajra)",1968,"Andhra Pradesh",572.3,232.4,406.081
"44","Pearl Millet (Bajra)",1969,"Andhra Pradesh",601.9,320,531.65
"45","Pearl Millet (Bajra)",1970,"Andhra Pradesh",584,290.1,496.747
"46","Pearl Millet (Bajra)",1971,"Andhra Pradesh",522,228.2,437.165
"47","Pearl Millet (Bajra)",1972,"Andhra Pradesh",505.9,179.8,355.406
"48","Pearl Millet (Bajra)",1973,"Andhra Pradesh",582.4,365.2,627.06
"49","Pearl Millet (Bajra)",1974,"Andhra Pradesh",577.8,307.9,532.883
"50","Pearl Millet (Bajra)",1975,"Andhra Pradesh",622.3,351.1,564.197
"51","Pearl Millet (Bajra)",1976,"Andhra Pradesh",562.5,244.9,435.378
